retweets,likes,Subjectivity,Polarity
83,0,0.0,0.0
0,29,0.0,0.0
1499,0,0.4,-0.1
382,0,0.0,0.0
17,0,0.1,0.0
328,0,0.0,0.0
156,0,0.0,0.0
47,0,0.0,0.0
1,0,0.3,0.2
66,0,0.4,0.0
45,0,1.0,0.0
22,0,0.0,0.0
173,0,0.0,0.0
1499,0,0.4,-0.1
173,0,0.0,0.0
15,0,0.0,0.0
1,19,1.0,-0.2
173,0,0.0,0.0
1008,0,0.0,0.0
383,0,0.0,0.0
15,0,0.3,-0.1
1,0,0.0,0.0
1499,0,0.4,-0.1
0,2,0.2,0.1
2606,0,0.0,0.0
328,0,0.0,0.0
18,0,0.0,0.0
329,0,0.2,-0.1
64,0,0.0,0.0
51,0,0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
342,0,0.0,0.0
47,0,0.0,0.0
17,18,0.1,0.0
4,5,0.0,0.0
2288,0,0.3,-0.2
243,0,0.0,0.0
0,1,0.0,0.0
2,2,0.2,0.2
0,5,0.2,0.2
2570,0,0.0,0.0
302,0,0.0,0.0
325,0,0.1,0.0
2606,0,0.0,0.0
0,1,0.5,0.1
18,0,0.0,0.0
161,0,0.0,0.0
2570,0,0.0,0.0
8,0,0.0,0.0
46,0,0.0,0.0
854,0,0.0,0.0
173,0,0.0,0.0
254,0,0.0,0.0
329,0,0.2,-0.1
0,2,0.0,0.0
854,0,0.0,0.0
342,0,0.0,0.0
3010,0,0.4,-0.1
325,0,0.1,0.0
4,0,0.0,0.0
97,0,0.0,0.0
182,0,0.0,0.0
1,2,0.6,-0.2
1499,0,0.4,-0.1
51,0,0.3,-0.2
47,0,0.0,0.0
1499,0,0.4,-0.1
69,0,0.0,0.0
1,0,0.8,0.2
9,0,0.0,0.0
3,0,0.0,0.0
83,0,0.0,0.0
1499,0,0.4,-0.1
328,0,0.0,0.0
15,0,0.0,0.0
1,0,0.0,0.0
51,0,0.3,-0.2
173,0,0.0,0.0
328,0,0.0,0.0
10,0,0.0,0.0
2,0,0.0,0.0
26,0,0.6,-0.1
11,0,0.0,0.0
173,0,0.0,0.0
1,1,0.4,0.0
302,0,0.0,0.0
0,2,0.2,0.0
4,0,0.0,0.0
58,0,0.0,0.0
103,0,0.4,0.1
1,1,0.0,0.0
41,0,0.5,0.0
99,0,0.0,0.0
854,0,0.0,0.0
854,0,0.0,0.0
23,0,0.2,0.0
0,2,0.5,0.0
1,6,0.0,0.0
3,18,0.5,0.3
383,0,0.0,0.0
400,0,0.0,0.0
0,1,0.1,0.0
5,9,1.0,0.0
91,0,0.8,0.4
2570,0,0.0,0.0
2606,0,0.0,0.0
898,0,0.5,0.5
3,0,0.3,-0.2
2606,0,0.0,0.0
2570,0,0.0,0.0
325,0,0.1,0.0
31,0,0.3,1.0
173,0,0.0,0.0
3,0,0.0,0.0
11,0,0.0,0.0
7,0,0.0,0.0
79,0,0.0,0.0
6,0,0.0,0.0
0,1,0.0,0.0
7,0,0.4,-0.0
16,0,0.0,0.0
1008,0,0.0,0.0
35,0,0.0,-0.1
47,0,0.0,0.0
6,0,0.2,0.2
6,0,0.6,0.6
68,0,0.2,0.2
854,0,0.0,0.0
5,0,0.0,0.0
5,4,0.0,0.0
2570,0,0.0,0.0
92,0,0.0,0.0
5,0,0.0,0.0
0,1,0.2,-0.1
371,0,0.0,0.0
22,0,0.0,0.0
0,2,0.0,0.0
11,0,0.0,0.0
35,0,0.4,0.3
1499,0,0.4,-0.1
415,0,0.0,0.0
31,0,0.3,1.0
2570,0,0.0,0.0
223,0,0.0,0.0
1,3,0.0,0.0
19,0,0.0,0.0
343,0,0.9,-0.6
2570,0,0.0,0.0
54,0,0.0,0.0
34,0,0.0,0.0
329,0,0.2,-0.1
46,0,0.0,0.0
164,0,0.3,0.1
854,0,0.0,0.0
198,0,0.3,0.2
225,0,0.0,0.0
302,0,0.0,0.0
2606,0,0.0,0.0
112,0,0.0,0.0
7,0,0.3,-0.1
128,0,0.0,0.0
7,0,0.3,-0.1
1,0,0.0,0.0
34,0,0.0,0.0
18,0,0.6,0.2
47,0,0.0,0.0
898,0,0.5,0.5
854,0,0.0,0.0
2606,0,0.0,0.0
342,0,0.0,0.0
194,0,0.0,0.0
0,1,0.0,0.0
89,0,0.1,0.0
1,1,0.3,-0.2
254,0,0.0,0.0
325,0,0.1,0.0
2606,0,0.0,0.0
313,0,0.4,-0.1
26,0,0.0,0.0
0,2,0.7,0.2
3010,0,0.4,-0.1
64,0,0.0,0.0
371,0,0.0,0.0
15,65,0.1,-0.1
1,0,0.0,0.0
22,0,0.0,0.0
128,0,0.0,0.0
1499,0,0.4,-0.1
898,0,1.0,1.0
365,0,0.0,0.0
325,0,0.1,0.0
173,0,0.0,0.0
1499,0,0.4,-0.1
854,0,0.0,0.0
0,7,0.0,0.0
8,0,0.0,0.0
1,12,0.5,-0.5
898,0,1.0,1.0
53,0,0.1,0.0
1,0,0.0,0.0
18,0,0.6,0.2
1,0,0.4,0.2
2608,0,0.0,0.0
5,0,0.0,0.0
854,0,0.0,0.0
173,0,0.0,0.0
2570,0,0.0,0.0
2,2,0.0,0.0
198,0,0.3,0.2
79,0,0.0,0.0
108,0,0.4,0.0
771,0,0.4,-0.1
0,1,0.9,0.5
4,0,0.0,0.0
34,0,0.0,0.0
18,21,0.3,0.2
0,1,0.9,0.6
0,1,0.0,0.0
3,0,0.0,0.0
194,0,0.0,0.0
383,0,0.0,0.0
161,0,0.0,0.0
898,0,1.0,1.0
128,0,0.0,0.0
302,0,0.0,0.0
161,0,0.0,0.0
329,0,0.2,-0.1
108,0,0.2,-0.1
325,0,0.1,0.0
26,0,0.0,0.0
371,0,0.0,0.0
353,0,0.5,0.5
161,0,0.0,0.0
33,0,0.0,0.0
440,0,0.1,0.0
41,0,0.5,0.0
17,0,0.0,0.0
173,0,0.0,0.0
325,0,0.1,0.0
